fecha,RH,TMP,WDR,WSP
2015-01-01,60.56547619047619,13.385714285714286,156.72303921568627,1.9333333333333333
2015-01-02,52.45238095238095,13.567261904761905,176.7107843137255,2.5598039215686272
2015-01-03,55.763636363636365,13.893333333333333,190.83084577114428,2.136318407960199
2015-01-04,62.776785714285715,12.536011904761905,196.3063725490196,2.5926470588235295
2015-01-05,70.27184466019418,9.07022653721683,266.8897637795276,2.963517060367454
2015-01-06,73.94920634920635,10.029523809523809,216.60206718346254,2.143410852713178
2015-01-07,62.972477064220186,12.78532110091743,226.99749373433585,2.993734335839599
2015-01-08,65.82727272727273,10.366060606060605,220.05555555555554,2.5674603174603177
2015-01-09,65.45016077170418,11.086495176848874,204.6686567164179,1.8528358208955225
2015-01-10,64.45419847328245,12.390076335877863,172.04823151125402,1.7983922829581993
2015-01-11,56.33566433566433,12.936713286713287,168.2694610778443,1.6790419161676646
2015-01-12,53.955128205128204,13.502243589743589,178.90833333333333,1.545
2015-01-13,50.50892857142857,13.647321428571429,164.5514705882353,1.6112745098039216
2015-01-14,55.5987460815047,13.81128526645768,158.7621483375959,1.6580562659846547
2015-01-15,50.66319444444444,14.71111111111111,167.51810584958218,1.6646239554317548
2015-01-16,49.17261904761905,14.729464285714286,173.87760416666666,1.7236979166666666
2015-01-17,51.958333333333336,14.630654761904761,175.53385416666666,1.4966145833333333
2015-01-18,53.63988095238095,13.76577380952381,224.33333333333334,1.9927083333333333
2015-01-19,53.81736526946108,13.755389221556886,188.09947643979058,1.7683246073298429
2015-01-20,52.132132132132135,14.766666666666667,177.56430446194227,1.5829396325459317
2015-01-21,53.96699669966997,15.896369636963696,173.13675213675214,2.0646723646723646
2015-01-22,53.75,15.70922619047619,193.8172323759791,2.3287206266318536
2015-01-23,53.39385474860335,14.845810055865922,186.43950617283951,2.063950617283951
2015-01-24,54.53611111111111,14.544166666666667,172.02948402948402,2.036855036855037
2015-01-25,57.325,13.944166666666666,194.5049019607843,1.7377450980392157
2015-01-26,51.443820224719104,14.33679775280899,228.1764705882353,1.9691176470588236
2015-01-27,44.63333333333333,14.570277777777777,192.76157407407408,2.123148148148148
2015-01-28,45.76119402985075,14.42686567164179,219.9014778325123,2.3339901477832514
2015-01-29,43.99438202247191,13.740168539325843,193.6019184652278,2.4580335731414866
2015-01-30,48.069637883008355,11.757381615598886,193.0980861244019,1.9935406698564593
2015-01-31,47.41111111111111,13.127777777777778,174.6851851851852,2.225462962962963
2015-02-01,47.35310734463277,13.711581920903955,179.53286384976525,2.20093896713615
2015-02-02,49.35964912280702,13.219005847953216,177.6280193236715,2.309903381642512
2015-02-03,56.42406876790831,13.51862464183381,177.2850356294537,2.4529691211401423
2015-02-04,50.408408408408405,14.476876876876878,196.27475247524754,1.9636138613861387
2015-02-05,54.02439024390244,12.814024390243903,217.90931989924434,2.3455919395465994
2015-02-06,51.37222222222222,12.047777777777778,215.02716049382715,2.088395061728395
2015-02-07,32.90985915492958,12.55977653631285,174.8861386138614,1.6646039603960396
2015-02-08,31.233333333333334,13.866111111111111,170.63480392156862,1.7174019607843138
2015-02-09,32.09192200557103,12.970194986072423,174.40540540540542,2.366093366093366
2015-02-10,36.803030303030305,13.161818181818182,187.75423728813558,1.781638418079096
2015-02-11,47.15966386554622,13.289635854341737,193.48930481283423,1.95
2015-02-12,66.49717514124293,11.588418079096046,212.14689265536722,2.1920903954802258
2015-02-13,68.7661971830986,11.038440111420613,230.68523676880224,1.7545961002785515
2015-02-14,67.40947075208913,10.817827298050139,192.73629242819842,1.4331592689295038
2015-02-15,55.13055555555555,14.303333333333333,171.9921875,1.45546875
2015-02-16,51.18537859007833,15.949869451697127,189.6879606879607,2.3742014742014743
2015-02-17,46.72295514511873,16.406068601583115,192.61290322580646,1.9042183622828783
2015-02-18,49.76190476190476,16.672268907563026,185.5748031496063,1.788713910761155
2015-02-19,47.971128608923884,16.345669291338584,192.97037037037038,1.9014814814814816
2015-02-20,49.52910052910053,16.694708994708996,172.12254901960785,1.7291666666666667
2015-02-21,49.90555555555556,17.890833333333333,170.4142156862745,1.704656862745098
2015-02-22,40.292957746478876,18.705915492957747,176.87593052109182,1.8397022332506203
2015-02-23,28.247395833333332,18.376822916666665,199.11458333333334,2.2135416666666665
2015-02-24,41.182291666666664,17.2671875,168.19010416666666,1.7403645833333334
2015-02-25,42.578125,18.133854166666666,196.54947916666666,2.333854166666667
2015-02-26,41.7578125,17.6671875,186.7154046997389,2.5469973890339426
2015-02-27,39.31578947368421,16.65703125,191.36979166666666,2.3838541666666666
